,Lat,Lon,Alt
2135,31.89,-114.6,64.0
2136,31.89,-114.1,73.0
2137,31.89,-113.6,241.0
2138,31.89,-113.1,328.0
2139,31.89,-112.6,596.0
2140,31.89,-112.1,594.0
2141,31.89,-111.6,0.0
2142,31.89,-111.1,1140.0
2143,31.89,-110.6,1395.0
2144,31.89,-110.1,1363.0
2145,31.89,-109.6,1354.0
2146,31.89,-109.1,1361.0
2147,31.89,-108.6,1305.0
2148,31.89,-108.1,1501.0
2149,31.89,-107.6,1234.0
2150,31.89,-107.1,1308.0
2151,31.89,-106.6,1146.0
2152,31.89,-106.1,1314.0
2153,31.89,-105.6,1473.0
2154,31.89,-105.1,1103.0
2155,31.89,-104.6,1239.0
2156,31.89,-104.1,981.0
2157,31.89,-103.6,912.0
2158,31.89,-103.1,881.0
2159,31.89,-102.6,952.0
2160,31.89,-102.1,838.0
2161,31.89,-101.6,819.0
2162,31.89,-101.1,731.0
2163,31.89,-100.6,604.0
2164,31.89,-100.1,566.0
2165,31.89,-99.6,632.0
2166,31.89,-99.1,472.0
2167,31.89,-98.6,411.0
2168,31.89,-98.1,384.0
2169,31.89,-97.6,276.0
2170,31.89,-97.1,194.0
2171,31.89,-96.6,146.0
2172,31.89,-96.1,89.0
2173,31.89,-95.6,133.0
2174,31.89,-95.1,86.0
2175,31.89,-94.6,154.0
2176,31.89,-94.1,62.0
2177,31.89,-93.6,95.0
2178,31.89,-93.1,33.0
2179,31.89,-92.6,37.0
2180,31.89,-92.1,50.0
2181,31.89,-91.6,18.0
2182,31.89,-91.1,66.0
2183,31.89,-90.6,76.0
2184,31.89,-90.1,85.0
2185,31.89,-89.6,104.0
2186,31.89,-89.1,120.0
2187,31.89,-88.6,90.0
2188,31.89,-88.1,62.0
2189,31.89,-87.6,30.0
2190,31.89,-87.1,101.0
